"W_DATE","W_TIME","W_WEEK","CTGRY","KIND","STDM","M_KOR_STN_NM","M_STN_C_DST","BEF_TWO_H_GOFF_PRNB","BEF_ONE_H_GOFF_PRNB","GOFF_PRNB"
"20180301","14","목","1","0","수원 월드컵","신수원","2.482400","421","398","342"
"20180301","14","목","1","0","전주 월드컵","신창(순천향대)","99.999999","75","58","96"
"20180301","16","목","1","0","제주 월드컵","부전(동해선)","99.999999","386","184","337"
"20180303","14","토","1","0","포항 스틸야드","일광(동해선)","83.167500","217","203","207"
"20180303","16","토","1","0","춘천 송암","남춘천","3.455800","260","188","205"
"20180304","14","일","1","0","창원 축구센터","부전(동해선)","32.817100","196","224","282"
"20180310","14","토","1","0","인천 전용","도원","0.298700","688","1565","453"
"20180310","14","토","1","0","창원 축구센터","부전(동해선)","32.817100","309","298","366"
"20180310","16","토","1","0","울산 문수","일광(동해선)","29.950900","207","135","158"
"20180311","16","일","1","0","서울 월드컵","디지털미디어시티","0.877000","","",""
"20180313","13","화","2","1","광주","신창(순천향대)","99.999999","174","171","61"
"20180313","13","화","2","1","대전","쌍용(나사렛대)","60.012600","266","222","130"
"20180313","13","화","2","1","사직","거제(동해선)","1.314800","86","92","82"
"20180313","13","화","2","1","수원","화서","2.453800","226","239","335"
"20180314","13","수","2","1","광주","신창(순천향대)","99.999999","154","317","91"
"20180314","13","수","2","1","대전","쌍용(나사렛대)","60.012600","297","239","202"
"20180314","13","수","2","1","사직","거제(동해선)","1.314800","57","75","75"
"20180314","13","수","2","1","수원","화서","2.453800","234","269","336"
"20180315","13","목","2","1","대구","동래(동해선)","79.416000","33","23","36"
"20180315","13","목","2","1","대전","쌍용(나사렛대)","60.012600","142","245","111"
"20180315","13","목","2","1","사직","거제(동해선)","1.314800","85","54","54"
"20180315","17","목","2","1","광주","신창(순천향대)","99.999999","32","88","61"
"20180316","13","금","2","1","광주","신창(순천향대)","99.999999","128","125","54"
"20180316","13","금","2","1","대구","동래(동해선)","79.416000","24","35","45"
"20180316","13","금","2","1","대전","쌍용(나사렛대)","60.012600","106","108","176"
"20180316","13","금","2","1","사직","거제(동해선)","1.314800","79","64","79"
"20180317","13","토","2","1","대구","동래(동해선)","79.416000","29","42","70"
"20180317","13","토","2","1","대전","쌍용(나사렛대)","60.012600","129","70","129"
"20180317","13","토","2","1","문학","연수","2.224000","287","324","316"
"20180317","13","토","2","1","수원","화서","2.453800","434","364","426"
"20180317","13","토","2","1","잠실","선릉","2.423500","871","984","996"
"20180317","14","토","1","0","인천 전용","도원","0.298700","528","898","377"
"20180317","14","토","1","0","춘천 송암","남춘천","3.455800","563","372","308"
"20180318","13","일","2","1","대구","동래(동해선)","79.416000","39","34","77"
"20180318","13","일","2","1","대전","쌍용(나사렛대)","60.012600","96","46","79"
"20180318","13","일","2","1","문학","연수","2.224000","253","262","215"
"20180318","13","일","2","1","수원","화서","2.453800","377","365","300"
"20180318","14","일","1","0","울산 문수","일광(동해선)","29.950900","272","241","233"
"20180318","14","일","2","1","잠실","선릉","2.423500","427","428","293"
"20180318","14","일","1","0","전주 월드컵","신창(순천향대)","99.999999","116","66","141"
"20180318","16","일","1","0","수원 월드컵","신수원","2.482400","397","410","442"
"20180320","13","화","2","1","고척","구일","0.300200","395","977","570"
"20180320","13","화","2","1","문학","연수","2.224000","201","210","212"
"20180320","13","화","2","1","잠실","선릉","2.423500","832","784","868"
"20180320","17","화","2","1","대구","동래(동해선)","79.416000","43","54","80"
"20180320","17","화","2","1","사직","거제(동해선)","1.314800","65","54","119"
"20180321","13","수","2","1","고척","구일","0.300200","429","1005","685"
"20180321","13","수","2","1","대구","동래(동해선)","79.416000","21","28","34"
"20180321","13","수","2","1","사직","거제(동해선)","1.314800","44","53","56"
"20180321","13","수","2","1","잠실","선릉","2.423500","825","768","763"
"20180321","17","수","2","1","문학","연수","2.224000","229","305","519"
"20180324","14","토","2","2","고척","구일","0.300200","2383","4415","974"
"20180324","14","토","2","2","광주","신창(순천향대)","99.999999","112","74","107"
"20180324","14","토","2","2","문학","연수","2.224000","299","292","321"
"20180324","14","토","2","2","잠실","선릉","2.423500","999","1009","705"
"20180325","14","일","2","2","고척","구일","0.300200","1402","3311","620"
"20180325","14","일","2","2","광주","신창(순천향대)","99.999999","110","91","168"
"20180325","14","일","2","2","문학","연수","2.224000","266","288","290"
"20180325","14","일","2","2","잠실","선릉","2.423500","412","492","290"
"20180327","18","화","2","2","고척","구일","0.300200","516","1147","1925"
"20180327","18","화","2","2","광주","신창(순천향대)","99.999999","105","62","156"
"20180327","18","화","2","2","문학","연수","2.224000","297","472","776"
"20180327","18","화","2","2","잠실","선릉","2.423500","674","798","1027"
"20180328","18","수","2","2","고척","구일","0.300200","518","850","2239"
"20180328","18","수","2","2","광주","신창(순천향대)","99.999999","102","71","142"
"20180328","18","수","2","2","문학","연수","2.224000","358","528","902"
"20180328","18","수","2","2","잠실","선릉","2.423500","696","846","1173"
"20180329","18","목","2","2","고척","구일","0.300200","477","1065","1540"
"20180329","18","목","2","2","광주","신창(순천향대)","99.999999","101","62","123"
"20180329","18","목","2","2","문학","연수","2.224000","358","476","762"
"20180329","18","목","2","2","잠실","선릉","2.423500","727","961","1103"
"20180330","18","금","2","2","대구","동래(동해선)","79.416000","137","109","111"
"20180330","18","금","2","2","대전","쌍용(나사렛대)","60.012600","112","234","218"
"20180330","18","금","2","2","사직","거제(동해선)","1.314800","88","251","196"
"20180330","18","금","2","2","잠실","선릉","2.423500","822","926","1209"
"20180330","19","금","2","2","수원","화서","2.453800","840","1195","1553"
"20180331","14","토","1","0","제주 월드컵","부전(동해선)","99.999999","267","312","402"
"20180331","14","토","1","0","포항 스틸야드","일광(동해선)","83.167500","235","287","202"
"20180331","16","토","1","0","전주 월드컵","신창(순천향대)","99.999999","115","124","96"
"20180331","17","토","2","2","대구","동래(동해선)","79.416000","97","97","151"
"20180331","17","토","2","2","대전","쌍용(나사렛대)","60.012600","177","147","128"
"20180331","17","토","2","2","사직","거제(동해선)","1.314800","227","146","127"
"20180331","17","토","2","2","수원","화서","2.453800","544","699","688"
"20180331","17","토","2","2","잠실","선릉","2.423500","572","523","609"
"20180401","14","일","2","2","대구","동래(동해선)","79.416000","47","69","71"
"20180401","14","일","2","2","대전","쌍용(나사렛대)","60.012600","55","96","64"
"20180401","14","일","2","2","사직","거제(동해선)","1.314800","123","152","113"
"20180401","14","일","1","0","서울 월드컵","디지털미디어시티","0.877000","","",""
"20180401","14","일","2","2","수원","화서","2.453800","307","367","341"
"20180401","14","일","2","2","잠실","선릉","2.423500","343","387","298"
"20180401","16","일","1","0","춘천 송암","남춘천","3.455800","244","264","240"
"20180403","18","화","2","2","고척","구일","0.300200","456","786","1418"
"20180403","18","화","2","2","대전","쌍용(나사렛대)","60.012600","90","294","364"
"20180403","18","화","2","2","문학","연수","2.224000","313","477","770"
"20180403","18","화","2","2","잠실","선릉","2.423500","639","831","982"
"20180404","18","수","2","2","고척","구일","0.300200","484","901","1608"
"20180404","18","수","2","2","대전","쌍용(나사렛대)","60.012600","146","206","249"
"20180404","18","수","2","2","문학","연수","2.224000","393","514","798"
"20180404","18","수","2","2","잠실","선릉","2.423500","622","809","1010"
"20180405","18","목","2","2","고척","구일","0.300200","439","796","1353"
"20180405","18","목","2","2","대전","쌍용(나사렛대)","60.012600","86","316","222"
